海岸番号,海岸,エリア,市町,調査延長m,緯度,経度,季節,分類番号,分類,体積L,重量Kg
1,長浦海岸,西部,大竹市,329,34.196,132.295,冬,1,ペットボトル,3.500,0.123
1,長浦海岸,西部,大竹市,329,34.196,132.295,冬,2,プラスチックボトル,0.200,0.013
1,長浦海岸,西部,大竹市,329,34.196,132.295,冬,3,食品プラスチック容器,1.325,0.036
1,長浦海岸,西部,大竹市,329,34.196,132.295,冬,4,食品袋,0.000,0.000
1,長浦海岸,西部,大竹市,329,34.196,132.295,冬,5,ライター,0.000,0.000
1,長浦海岸,西部,大竹市,329,34.196,132.295,冬,6,産廃系,6.094,0.089
1,長浦海岸,西部,大竹市,329,34.196,132.295,冬,7,カキ養殖用バルブ,4.041,0.358
1,長浦海岸,西部,大竹市,329,34.196,132.295,冬,8,その他プラスチック類,7.957,0.267
1,長浦海岸,西部,大竹市,329,34.196,132.295,冬,9,発泡スチロール製フロート,0.000,0.000
1,長浦海岸,西部,大竹市,329,34.196,132.295,冬,10,その他（金属・ゴム・木・ガラス・陶器）,0.500,0.037
1,長浦海岸,西部,大竹市,329,34.196,132.295,夏,1,ペットボトル,0.000,0.000
1,長浦海岸,西部,大竹市,329,34.196,132.295,夏,2,プラスチックボトル,0.000,0.000
1,長浦海岸,西部,大竹市,329,34.196,132.295,夏,3,食品プラスチック容器,0.100,0.010
1,長浦海岸,西部,大竹市,329,34.196,132.295,夏,4,食品袋,1.656,0.056
1,長浦海岸,西部,大竹市,329,34.196,132.295,夏,5,ライター,0.000,0.000
1,長浦海岸,西部,大竹市,329,34.196,132.295,夏,6,産廃系,0.000,0.000
1,長浦海岸,西部,大竹市,329,34.196,132.295,夏,7,カキ養殖用バルブ,1.194,0.156
1,長浦海岸,西部,大竹市,329,34.196,132.295,夏,8,その他プラスチック類,2.991,0.126
1,長浦海岸,西部,大竹市,329,34.196,132.295,夏,9,発泡スチロール製フロート,0.000,0.000
1,長浦海岸,西部,大竹市,329,34.196,132.295,夏,10,その他（金属・ゴム・木・ガラス・陶器）,0.000,0.000
1,長浦海岸,西部,大竹市,329,34.196,132.295,春,1,ペットボトル,4.600,0.252
1,長浦海岸,西部,大竹市,329,34.196,132.295,春,2,プラスチックボトル,1.000,0.076
1,長浦海岸,西部,大竹市,329,34.196,132.295,春,3,食品プラスチック容器,0.000,0.000
1,長浦海岸,西部,大竹市,329,34.196,132.295,春,4,食品袋,0.331,0.016
1,長浦海岸,西部,大竹市,329,34.196,132.295,春,5,ライター,0.000,0.000
1,長浦海岸,西部,大竹市,329,34.196,132.295,春,6,産廃系,0.000,0.000
1,長浦海岸,西部,大竹市,329,34.196,132.295,春,7,カキ養殖用バルブ,12.400,0.858
1,長浦海岸,西部,大竹市,329,34.196,132.295,春,8,その他プラスチック類,1.100,0.176
1,長浦海岸,西部,大竹市,329,34.196,132.295,春,9,発泡スチロール製フロート,0.000,0.000
1,長浦海岸,西部,大竹市,329,34.196,132.295,春,10,その他（金属・ゴム・木・ガラス・陶器）,31.312,1.332
1,長浦海岸,西部,大竹市,329,34.196,132.295,秋,1,ペットボトル,4.600,0.125
1,長浦海岸,西部,大竹市,329,34.196,132.295,秋,2,プラスチックボトル,0.000,0.000
1,長浦海岸,西部,大竹市,329,34.196,132.295,秋,3,食品プラスチック容器,0.331,0.013
1,長浦海岸,西部,大竹市,329,34.196,132.295,秋,4,食品袋,0.497,0.021
1,長浦海岸,西部,大竹市,329,34.196,132.295,秋,5,ライター,0.000,0.000
1,長浦海岸,西部,大竹市,329,34.196,132.295,秋,6,産廃系,0.000,0.000
1,長浦海岸,西部,大竹市,329,34.196,132.295,秋,7,カキ養殖用バルブ,5.312,0.364
1,長浦海岸,西部,大竹市,329,34.196,132.295,秋,8,その他プラスチック類,9.175,0.249
1,長浦海岸,西部,大竹市,329,34.196,132.295,秋,9,発泡スチロール製フロート,0.000,0.000
1,長浦海岸,西部,大竹市,329,34.196,132.295,秋,10,その他（金属・ゴム・木・ガラス・陶器）,2.918,0.112
2,長浦,西部,廿日市市,300,34.233,132.274,冬,1,ペットボトル,0.800,0.032
2,長浦,西部,廿日市市,300,34.233,132.274,冬,2,プラスチックボトル,0.000,0.000
2,長浦,西部,廿日市市,300,34.233,132.274,冬,3,食品プラスチック容器,0.500,0.021
2,長浦,西部,廿日市市,300,34.233,132.274,冬,4,食品袋,0.000,0.000
2,長浦,西部,廿日市市,300,34.233,132.274,冬,5,ライター,0.020,0.008
2,長浦,西部,廿日市市,300,34.233,132.274,冬,6,産廃系,0.166,0.015
2,長浦,西部,廿日市市,300,34.233,132.274,冬,7,カキ養殖用バルブ,1.324,0.149
2,長浦,西部,廿日市市,300,34.233,132.274,冬,8,その他プラスチック類,7.659,0.162
2,長浦,西部,廿日市市,300,34.233,132.274,冬,9,発泡スチロール製フロート,0.000,0.000
2,長浦,西部,廿日市市,300,34.233,132.274,冬,10,その他（金属・ゴム・木・ガラス・陶器）,1.725,0.094
2,長浦,西部,廿日市市,300,34.233,132.274,夏,1,ペットボトル,9.000,0.226
2,長浦,西部,廿日市市,300,34.233,132.274,夏,2,プラスチックボトル,0.000,0.000
2,長浦,西部,廿日市市,300,34.233,132.274,夏,3,食品プラスチック容器,0.000,0.000
2,長浦,西部,廿日市市,300,34.233,132.274,夏,4,食品袋,0.000,0.000
2,長浦,西部,廿日市市,300,34.233,132.274,夏,5,ライター,0.000,0.000
2,長浦,西部,廿日市市,300,34.233,132.274,夏,6,産廃系,0.000,0.000
2,長浦,西部,廿日市市,300,34.233,132.274,夏,7,カキ養殖用バルブ,5.312,0.236
2,長浦,西部,廿日市市,300,34.233,132.274,夏,8,その他プラスチック類,12.852,0.682
2,長浦,西部,廿日市市,300,34.233,132.274,夏,9,発泡スチロール製フロート,0.000,0.000
2,長浦,西部,廿日市市,300,34.233,132.274,夏,10,その他（金属・ゴム・木・ガラス・陶器）,2.400,0.120
2,長浦,西部,廿日市市,300,34.233,132.274,春,1,ペットボトル,1.000,0.024
2,長浦,西部,廿日市市,300,34.233,132.274,春,2,プラスチックボトル,0.000,0.000
2,長浦,西部,廿日市市,300,34.233,132.274,春,3,食品プラスチック容器,0.000,0.000
2,長浦,西部,廿日市市,300,34.233,132.274,春,4,食品袋,0.497,0.029
2,長浦,西部,廿日市市,300,34.233,132.274,春,5,ライター,0.000,0.000
2,長浦,西部,廿日市市,300,34.233,132.274,春,6,産廃系,0.000,0.000
2,長浦,西部,廿日市市,300,34.233,132.274,春,7,カキ養殖用バルブ,1.491,0.191
2,長浦,西部,廿日市市,300,34.233,132.274,春,8,その他プラスチック類,6.430,0.109
2,長浦,西部,廿日市市,300,34.233,132.274,春,9,発泡スチロール製フロート,0.000,0.000
2,長浦,西部,廿日市市,300,34.233,132.274,春,10,その他（金属・ゴム・木・ガラス・陶器）,0.350,0.022
2,長浦,西部,廿日市市,300,34.233,132.274,秋,1,ペットボトル,1.500,0.081
2,長浦,西部,廿日市市,300,34.233,132.274,秋,2,プラスチックボトル,0.800,0.034
2,長浦,西部,廿日市市,300,34.233,132.274,秋,3,食品プラスチック容器,0.000,0.000
2,長浦,西部,廿日市市,300,34.233,132.274,秋,4,食品袋,0.450,0.021
2,長浦,西部,廿日市市,300,34.233,132.274,秋,5,ライター,0.000,0.000
2,長浦,西部,廿日市市,300,34.233,132.274,秋,6,産廃系,0.000,0.000
2,長浦,西部,廿日市市,300,34.233,132.274,秋,7,カキ養殖用バルブ,0.662,0.078
2,長浦,西部,廿日市市,300,34.233,132.274,秋,8,その他プラスチック類,7.555,0.146
2,長浦,西部,廿日市市,300,34.233,132.274,秋,9,発泡スチロール製フロート,0.000,0.000
2,長浦,西部,廿日市市,300,34.233,132.274,秋,10,その他（金属・ゴム・木・ガラス・陶器）,3.475,0.104
3,大奈佐美島,西部,江田島市,140,34.275,132.372,冬,1,ペットボトル,1.500,0.082
3,大奈佐美島,西部,江田島市,140,34.275,132.372,冬,2,プラスチックボトル,0.000,0.000
3,大奈佐美島,西部,江田島市,140,34.275,132.372,冬,3,食品プラスチック容器,0.331,0.023
3,大奈佐美島,西部,江田島市,140,34.275,132.372,冬,4,食品袋,0.000,0.000
3,大奈佐美島,西部,江田島市,140,34.275,132.372,冬,5,ライター,0.000,0.000
3,大奈佐美島,西部,江田島市,140,34.275,132.372,冬,6,産廃系,0.000,0.000
3,大奈佐美島,西部,江田島市,140,34.275,132.372,冬,7,カキ養殖用バルブ,9.466,0.867
3,大奈佐美島,西部,江田島市,140,34.275,132.372,冬,8,その他プラスチック類,6.405,0.204
3,大奈佐美島,西部,江田島市,140,34.275,132.372,冬,9,発泡スチロール製フロート,0.000,0.000
3,大奈佐美島,西部,江田島市,140,34.275,132.372,冬,10,その他（金属・ゴム・木・ガラス・陶器）,0.920,0.131
3,大奈佐美島,西部,江田島市,140,34.275,132.372,夏,1,ペットボトル,28.800,1.322
3,大奈佐美島,西部,江田島市,140,34.275,132.372,夏,2,プラスチックボトル,1.200,0.326
3,大奈佐美島,西部,江田島市,140,34.275,132.372,夏,3,食品プラスチック容器,12.188,0.138
3,大奈佐美島,西部,江田島市,140,34.275,132.372,夏,4,食品袋,0.000,0.000
3,大奈佐美島,西部,江田島市,140,34.275,132.372,夏,5,ライター,0.000,0.000
3,大奈佐美島,西部,江田島市,140,34.275,132.372,夏,6,産廃系,0.000,0.000
3,大奈佐美島,西部,江田島市,140,34.275,132.372,夏,7,カキ養殖用バルブ,21.938,2.028
3,大奈佐美島,西部,江田島市,140,34.275,132.372,夏,8,その他プラスチック類,188.360,2.114
3,大奈佐美島,西部,江田島市,140,34.275,132.372,夏,9,発泡スチロール製フロート,0.000,0.000
3,大奈佐美島,西部,江田島市,140,34.275,132.372,夏,10,その他（金属・ゴム・木・ガラス・陶器）,8.500,0.382
3,大奈佐美島,西部,江田島市,140,34.275,132.372,春,1,ペットボトル,7.000,0.318
3,大奈佐美島,西部,江田島市,140,34.275,132.372,春,2,プラスチックボトル,0.600,0.072
3,大奈佐美島,西部,江田島市,140,34.275,132.372,春,3,食品プラスチック容器,0.200,0.078
3,大奈佐美島,西部,江田島市,140,34.275,132.372,春,4,食品袋,0.000,0.000
3,大奈佐美島,西部,江田島市,140,34.275,132.372,春,5,ライター,0.040,0.000
